BEN_REG,sexe,age,CIP13,total_boites,1,3,4,7,9,14,15,35,42,90,99
28,1,60,3400938014914,702,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,35.0
28,2,20,3400938014624,123,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,20,3400938014792,207,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,20,3400938014914,80,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,60,3400938014624,734,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
28,2,60,3400938014792,1935,1758.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,41.0
28,2,60,3400938014914,1464,1371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0
32,1,20,3400938014624,141,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
32,1,20,3400938014792,319,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
32,1,20,3400938014914,237,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
32,1,60,3400938014624,613,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.0
32,1,60,3400938014792,1205,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,63.0
32,1,60,3400938014914,1229,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,25.0
32,2,20,3400938014624,319,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0
32,2,20,3400938014792,454,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,17.0
32,2,20,3400938014914,340,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
32,2,60,3400938014624,1373,1266.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
32,2,60,3400938014792,3198,2827.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,29.0
32,2,60,3400938014914,2558,2269.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,43.0
44,1,20,3400938014624,184,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
44,1,20,3400938014792,267,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
44,1,20,3400938014914,182,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
44,1,60,3400938014624,624,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,25.0
44,1,60,3400938014792,1186,1006.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0
44,1,60,3400938014914,995,880.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0
44,2,20,3400938014624,305,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
44,2,20,3400938014792,402,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0
44,2,20,3400938014914,159,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2,60,3400938014624,1542,1421.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,21.0
44,2,60,3400938014792,2870,2597.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,21.0
44,2,60,3400938014914,2127,1916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,35.0
52,1,20,3400938014624,65,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,20,3400938014792,51,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,20,3400938014914,59,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,60,3400938014624,352,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
52,1,60,3400938014792,601,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0
52,1,60,3400938014914,395,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
52,2,20,3400938014624,118,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2,20,3400938014792,87,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2,20,3400938014914,94,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2,60,3400938014624,903,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,32.0
52,2,60,3400938014792,1193,1135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0
52,2,60,3400938014914,941,854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,27.0
53,1,20,3400938014624,48,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,20,3400938014792,126,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
53,1,20,3400938014914,67,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,60,3400938014624,268,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,60,3400938014792,905,805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,17.0
53,1,60,3400938014914,845,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
53,2,20,3400938014624,118,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2,20,3400938014792,207,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2,20,3400938014914,91,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2,60,3400938014624,808,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
53,2,60,3400938014792,2259,2142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,36.0
53,2,60,3400938014914,1714,1616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0
75,1,20,3400938014624,201,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
75,1,20,3400938014792,294,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
75,1,20,3400938014914,213,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
75,1,60,3400938014624,738,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,48.0
75,1,60,3400938014792,2218,1908.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,63.0
75,1,60,3400938014914,1697,1567.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0
75,2,20,3400938014624,263,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
75,2,20,3400938014792,527,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,38.0
75,2,20,3400938014914,224,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2,60,3400938014624,1710,1561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,43.0
75,2,60,3400938014792,5314,4954.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,89.0
75,2,60,3400938014914,3098,2829.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,78.0
76,1,20,3400938014624,144,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
76,1,20,3400938014792,400,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,39.0
76,1,20,3400938014914,227,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
76,1,60,3400938014624,693,598.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,25.0
76,1,60,3400938014792,1935,1598.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,56.0
76,1,60,3400938014914,1324,1160.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0
76,2,20,3400938014624,249,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
76,2,20,3400938014792,494,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,50.0
76,2,20,3400938014914,196,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
76,2,60,3400938014624,1525,1359.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,76.0,26.0
76,2,60,3400938014792,5059,4396.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,366.0,69.0
76,2,60,3400938014914,2463,2222.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,65.0
84,1,20,3400938014624,233,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0
84,1,20,3400938014792,453,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,42.0
84,1,20,3400938014914,365,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,26.0
84,1,60,3400938014624,743,625.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,17.0
84,1,60,3400938014792,2362,2051.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,43.0
84,1,60,3400938014914,2274,1902.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,65.0
84,2,20,3400938014624,356,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,25.0
84,2,20,3400938014792,711,586.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0
84,2,20,3400938014914,321,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
84,2,60,3400938014624,2052,1797.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,23.0
84,2,60,3400938014792,5657,4824.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,424.0,132.0
84,2,60,3400938014914,3614,3229.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,74.0
93,1,20,3400938014624,179,133.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
93,1,20,3400938014792,968,663.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,60.0
93,1,20,3400938014914,542,386.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
93,1,60,3400938014624,680,497.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,44.0
93,1,60,3400938014792,4691,3409.0,690.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,398.0,154.0
93,1,60,3400938014914,3028,2257.0,377.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,252.0,105.0
93,2,20,3400938014624,230,186.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
93,2,20,3400938014792,1015,743.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,66.0
93,2,20,3400938014914,334,232.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,28.0
93,2,60,3400938014624,1599,1291.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,68.0
93,2,60,3400938014792,9589,7647.0,965.0,0.0,0.0,0.0,0.0,21.0,21.0,84.0,693.0,158.0
93,2,60,3400938014914,5422,4461.0,415.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,395.0,120.0
99,1,60,3400938014624,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
99,2,60,3400938014624,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
99,2,60,3400938014792,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2,60,3400938014914,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
99,9,99,3400938014792,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
