age,brand_total,generic_total,combined_total,brand_share
0,0.0,383,383.0,0.0
20,18286.0,727036,745322.0,0.024534362329301965
99,30.0,1097,1127.0,0.026619343389529725
60,127682.0,2915767,3043449.0,0.041953060491567294
